name,issue,killed,injured,all
Louisiana,11,5,55,60
California,43,43,170,213
Illinois,26,17,111,128
Missouri,8,6,31,37
Kentucky,4,6,10,16
Michigan,12,8,47,55
New York,14,10,50,60
Florida,16,26,65,91
Mississippi,4,5,14,19
New Jersey,6,4,25,29
Pennsylvania,9,11,35,46
Oregon,2,1,8,9
Indiana,8,7,31,38
Virginia,8,12,28,40
Tennessee,13,8,53,61
Georgia,17,15,70,85
Texas,14,25,65,90
Colorado,2,1,8,9
Ohio,7,10,23,33
South Dakota,1,4,1,5
Nevada,4,1,16,17
Washington,3,6,10,16
South Carolina,7,10,26,36
Alaska,1,0,6,6
Massachusetts,4,0,20,20
Utah,2,5,6,11
District of Columbia,6,0,27,27
Minnesota,1,1,8,9
Wisconsin,2,0,9,9
New Mexico,1,1,3,4
North Carolina,3,3,11,14
Arkansas,2,5,7,12
Maine,1,5,0,5
Connecticut,1,0,5,5
Rhode Island,1,0,5,5
Maryland,1,0,4,4
Alabama,2,1,9,10
Oklahoma,2,2,8,10
Arizona,1,1,3,4
