name,issue,killed,injured,all
Colorado,2,5,7,12
Illinois,36,24,149,173
New Jersey,13,13,41,54
Nevada,2,61,443,504
Florida,24,21,101,122
Mississippi,13,24,41,65
Alabama,7,6,38,44
Louisiana,15,17,52,69
Pennsylvania,15,8,59,67
California,37,37,149,186
Ohio,21,19,98,117
Kentucky,6,2,26,28
Texas,22,59,91,150
Massachusetts,1,0,4,4
Tennessee,14,7,63,70
Michigan,8,9,25,34
Minnesota,4,4,13,17
Georgia,9,9,36,45
Indiana,7,4,29,33
North Carolina,7,12,22,34
New York,13,4,56,60
Virginia,12,7,51,58
Connecticut,2,2,6,8
Maryland,8,9,25,34
Arizona,5,5,15,20
Kansas,4,11,8,19
South Carolina,7,5,32,37
Washington,3,5,9,14
New Mexico,2,7,4,11
Missouri,10,19,29,48
Montana,1,3,2,5
District of Columbia,5,2,22,24
Delaware,1,0,4,4
Wisconsin,2,5,4,9
Maine,1,4,1,5
Arkansas,3,2,35,37
Utah,1,3,2,5
Iowa,2,1,8,9
Oklahoma,1,2,3,5
